Title,GDP_measure,value
1948,CP SA changes in inventories timing adjustment £m,0
1948,Gross Operating Surplus: NFCos: Private: Alignment adjustments: CP SA £m,0
1948,Households (S.14): Individual consumption expenditure (P.31) Uses: Current price: £m: SA,8462
1948,Household final consumption expenditure :National concept CVM SA - £m,218538
1948,Gross Domestic Product index: Current price: Seasonally adjusted,0.6
1948,Gross value added at basic price index: Current price: Seasonally adjusted,0.6
1948,Gross domestic product index: CVM: Seasonally adjusted,17.8
1948,Gross Domestic Product: chained volume measures: Seasonally adjusted £m,350107
1948,Total gross final expenditure (aligned) - P.3+P.5+P.6 : CP SA £m,13921
1948,Total gross final expenditure (aligned) - P.3+P.5+P.6 : CVM SA £m,362549
1948,Gross domestic product at market prices:Implied deflator:SA,3.3
1948,Gross National Income: Current price: Seasonally adjusted £m,11784
1948,Gross Value Added (Average) at basic prices: CP SA £m,10532
1948,Gross Value Added at basic prices:chained volume measures:Seasonally adjusted £m,309830
1948,Total national expenditure:Implied deflator:SA,3.4
1948,Gross value added at basic prices: Output Index: CVM SA,18
1948,Total national expenditure (aligned) - P.3+P.5: CVM SA £m,344893
1948,Total national expenditure (aligned) - P.3+P.5: CP SA £m,11730
1948,Gross Domestic Product at market prices: Current price: Seasonally adjusted £m,11581
1948,Revision to GVA at bp £m,0
1948,Revision to basic price adjustment (bpa) £m,0
1948,Revision to GDP at market prices £m,0
1948,Revision to HH - component of GDP(E) £m,0
1948,Revision to changes in inventories - component of GDP(E) £m,0
1948,Revision to GFCF - component of GDP(E) £m,0
1948,Revision to CG - component of GDP(E) £m,0
1948,Revision to NPISH - component of GDP(E) £m,0
1948,Revision to total imports - component of GDP(E) £m,0
1948,Revision to total exports - component of GDP(E) £m,0
1948,Revisions to domestic expenditure on goods and services at market prices. £m,0
1948,Revision to Acquistions less disposals of valuables - component of GDP(E) £m,0
1948,Revisions to other income £m,0
1948,Revisions to GoS of corporations £m,0
1948,Revisions to CoE £m,0
1948,Revisions to statistical discrepancy (E) £m,0
1948,Revisions to statistical discrepancy (I) £m,0
1948,Revisions to taxes on products & production less subsidies £m,0
1948,Revisions to GVA at fc £m,0
1948,UK: Total compensation of employees (Uses): D.1: CP SA £m,6826
1948,Income based: Gross operating surplus of corporations : Total: CP SA £m,2003
1948,Income based: Other income: CP SA £m,1533
1948,Gross Value Added at basic prices: Implied deflator:SA,3.4
1948,National accounts residual error: CP: SA: £m,-133
1948,Gross value added at basic prices:CVM:Index:SA,17.600000000000001
1948,Income based: Gross value added at factor cost: CP SA £m,10362
1949,General Government: Final consumption expenditure (P3): CPSA £m,2225
1949,Gross Domestic Product (Expenditure) current basic prices index SA,0.6
1949,Gross Domestic Product (Income) chained volume index: SA,18.5
1949,Gross Domestic Product (Income) current basic prices index SA,0.7
1949,Gross Domestic Product (Expenditure) chained volume index: SA,18.100000000000001
1949,Tot adjustment to basic prices (General Government + Rest of the World) CVM SA £,42266
1949,Gross domestic product at market prices annual growth rate CP SA %,6.6
1949,Total adjustment to basic prices (General Government + ROW) CP SA £m,1045
1949,Gross Domestic Product: Year on Year growth: CVM SA %,3.4
1949,GDP Deflator: Year on Year growth: SA %...51,3.1
1949,General Government: Final consumption expenditure: P3: CVM SA £m,113541
1949,whole economy: D2 less D3: pre-ESA95 factor cost adjustment: SA CP £m,1306
1949,Trade in services:Exports:Total:CP:SA:£m,598
1949,Trade in services:Imports:Total:CP:SA:£m,641
1949,Trade in Services:Imports:Total:CVM:SA:£m,8867
1949,Trade in services:Balance:Total:CP:SA:£m,-43
1949,Trade in Services:Exports:Total:CVM:SA:£m,13760
1949,Balance of Payments: Trade in Goods & Services: Total balance: CP SA £m,-181
1949,Balance of Payments: Trade in Goods & Services: Total exports: CVM SA £m,36333
1949,Balance of Payments: Trade in Goods & Services: Total exports: CP SA £m,2489
1949,Balance of Payments: Trade in Goods & Services: Total imports: CP SA £m,2670
1949,Balance of Payments: Imports: Total Trade in Goods & Services: CVM SA £m,34580
1949,Balance of Payments: Trade in Goods & Services: Total Balance: CVM SA £m,1753
1949,Gross fixed capital formation annual growth rate YoY CP SA %,17.399999999999999
1949,Total fixed capital formation annual growth rate YoY CVM SA %,13.5
1949,Changes in inventories (CP SA) including alignment adjustment £m,65
1949,Private non-financial corporations (S.11002+S.11003): Gross Operating Surplus: Resource: CP £m: SA,1898
1949,Gross Operating Surplus: NFCos: Public: Current price: SA £m,346
1949,Imports goods annual growth rate CP SA %,11.8
1949,Exports goods annual growth rate CP SA %,13.7
1949,Changes in inventories including alignment adjustment - CVM NAYear SA £m,-44
1949,Exports goods annual growth rate CVM SA %,11
1949,Imports goods annual growth rate CVM SA %,7.8
1949,Gross Domestic Product (Income) current basic prices: aligned: SA £m,11450
1949,Gross Domestic Product (Expenditure) chained volume measure SA £m,318011
1949,Gross Domestic Product (Expenditure) current basic prices: aligned:SA £m,11188
1949,NPISH (S.15): Individual consumption expenditure (P.31): Uses: Current price: £m: SA,52
1949,Trade in Goods:Exports:Total Trade in Goods:CVM:SA:£m,22888
1949,Trade in Goods:Imports:Total:CVM:SA: £m,25597
1949,Final Consumption Expenditure of NPISHs CVM SA £m,15547
1949,Trade in Goods:Balance:Total:CP:SA £m,-138
1949,Trade in Goods:Imports:Total:CP:SA £m,2029
1949,Trade in Goods:Exports:Total:CP:SA £m,1891
1949,"Acquisitions less disposals of valuables: total economy CP SA, £m",0
1949,"Acquisitions less disposals of valuables: total economy CVM SA, £m",0
1949,Total Gross Fixed Capital Formation CP SA £m,1235
1949,Total Gross Fixed Capital Formation CVM SA £m,29058
1949,Compensation of employees D.1 annual growth rate YoY CP SA %,6.8
1949,Difference between GDP(E) and GDP(A) MP (SA CP) £m,115
1949,Statistical discrepancy (income) £m,-147
1949,Difference between GDP(Expenditure) and GDP(Average) MP(CVM SA) £m,3371
1949,Gross Operating Surplus: Financial Corporations: Total: CP SA £m,24
1949,Gross value added at basic prices annual deflator growth rate SA %...455,3.5
1949,Gross value added at basic prices annual growth CVM SA %,3.7
1949,Gross value added at basic prices annual growth rate CP SA %,7.3
1949,Non-profits institutions annual growth rate YoY CVM SA %,5
1949,General government annual growth rate YoY CP SA %,11.6
1949,General government annual growth rate YoY CVM SA %,5.8
1949,Total exports annual growth rate YoY CP SA %,13.6
1949,Exports services annual growth rate CP SA %,13.3
1949,Imports services annual growth rate CP SA %,8.3000000000000007
1949,Expenditure based estimate annual growth rate CP SA %,6.9
1949,Expenditure based estimate annual growth rate CVM SA %,3.3
1949,GOS Public corporations annual growth rate YoY CP SA %,35.700000000000003
1949,GOS of corporations annual growth YoY CP SA %,13.2
1949,Gross Domestic Product at market prices: CP: NSA £m,12348
1949,Total exports annual growth rate YoY CVM SA %,11
1949,Exports services annual growth rate CVM SA %,11
1949,Total imports annual growth rate YoY CP SA %,10.9
1949,Total imports annual growth rate YoY CVM SA %,7.9
1949,Imports services annual growth rate CVM SA %,7.9
1949,CVM SA changes in inventories timing adjustment £m,0
1949,CP SA changes in inventories timing adjustment £m,0
1949,Gross Operating Surplus: NFCos: Private: Alignment adjustments: CP SA £m,0
1949,Income based estimate annual growth rate CVM SA %,4.4000000000000004
1949,Gross added value at factor cost annual growth rate YoY CP SA %,8
1949,Other income annual growth rate YoY CP SA %,6.6
1949,Gross national income at market prices annual growth rate CP SA %,6.4
1949,Gross final expenditure annual growth rate YoY CP SA %,7.1
1949,Private non-financial corporations (S.11002+S.11003): Gross Operating Surplus: Resource: Y on Y-1 growth %: CP £m: SA,10.199999999999999
1949,GOS Financial corporations annual growth rate YoY CP SA %,-7.7
1949,Income based estimate annual growth rate CP SA %,8
1949,Taxes on products & production less subsidies annual growth rate YoY CP SA %,1.6
1949,Total domestic expenditure annual growth rate YoY CP SA %,5.8
1949,Total domestic expenditure annual growth rate YoY CVM SA %,2.5
1949,Gross domestic expenditure annual deflator growth rate SA %...578,3.2
1949,Households (S.14): Individual consumption expenditure (P.31) Uses: Current price: £m: SA,8837
1949,Household final consumption expenditure :National concept CVM SA - £m,222386
1949,Gross final expenditure annual growth rate YoY CVM SA %,3.9
1949,Gross Domestic Product index: Current price: Seasonally adjusted,0.6
1949,Total national household final consumption annual growth rate YoY CVM SA %,1.8
1949,Gross value added at basic price index: Current price: Seasonally adjusted,0.6
1949,Gross domestic product index: CVM: Seasonally adjusted,18.399999999999999
1949,Non-profits institutions annual growth rate YoY CP SA %,8.3000000000000007
1949,Gross Domestic Product: chained volume measures: Seasonally adjusted £m,361943
1949,Total gross final expenditure (aligned) - P.3+P.5+P.6 : CP SA £m,14903
1949,Total gross final expenditure (aligned) - P.3+P.5+P.6 : CVM SA £m,376509
1949,Total national household final consumption annual growth rate %,4.4000000000000004
1949,Gross domestic product at market prices:Implied deflator:SA,3.4
1949,Gross National Income: Current price: Seasonally adjusted £m,12534
1949,Gross Value Added (Average) at basic prices: CP SA £m,11303
1949,Gross Value Added at basic prices:chained volume measures:Seasonally adjusted £m,321382
1949,Total national expenditure:Implied deflator:SA,3.5
1949,Gross value added at basic prices: Output Index: CVM SA,18.600000000000001
1949,Total national expenditure (aligned) - P.3+P.5: CVM SA £m,353596
1949,Total national expenditure (aligned) - P.3+P.5: CP SA £m,12414
1949,Gross Domestic Product at market prices: Current price: Seasonally adjusted £m,12348
1949,Revisions to NPISH CVM growth table %,0
1949,Revisions to Households CVM growth %,0
1949,Revisions to Total GVA CVM growth %,0
1949,Revisions to Total export CVM growth %,0
1949,Revisions to total (domestic expenditure) CVM growth %,0
1949,Revisions to Gross fixed capital formation CVM growth %,0
1949,Revisions to General government CVM growth %,0
1949,Revisions to Total imports CVM growth %,0
1949,Revision to GVA at bp £m,0
1949,Revision to basic price adjustment (bpa) £m,0
1949,Revision to GDP at market prices £m,0
1949,Revision to HH - component of GDP(E) £m,0
1949,Revision to changes in inventories - component of GDP(E) £m,0
1949,Revision to GFCF - component of GDP(E) £m,0
1949,Revision to CG - component of GDP(E) £m,0
1949,Revision to NPISH - component of GDP(E) £m,0
1949,Revision to total imports - component of GDP(E) £m,0
1949,Revision to total exports - component of GDP(E) £m,0
1949,Revisions to domestic expenditure on goods and services at market prices. £m,0
1949,Revisions to GDP CVM growth %,0
1949,Revision to Acquistions less disposals of valuables - component of GDP(E) £m,0
1949,Revisions to other income £m,0
1949,Revisions to GoS of corporations £m,0
1949,Revisions to CoE £m,0
1949,Revisions to statistical discrepancy (E) £m,0
1949,Revisions to statistical discrepancy (I) £m,0
1949,Revisions to taxes on products & production less subsidies £m,0
1949,Revisions to GVA at fc £m,0
1949,UK: Total compensation of employees (Uses): D.1: CP SA £m,7287
1949,Income based: Gross operating surplus of corporations : Total: CP SA £m,2268
1949,Income based: Other income: CP SA £m,1634
1949,Gross Value Added at basic prices: Implied deflator:SA,3.5
1949,National accounts residual error: CP: SA: £m,-262
1949,ESA95 % change on previous quarter: Gross value added at basic prices,3.9
1949,Gross value added at basic prices:CVM:Index:SA,18.3
1949,Income based: Gross value added at factor cost: CP SA £m,11189
1950,General Government: Final consumption expenditure (P3): CPSA £m,2315
1950,Gross Domestic Product (Expenditure) current basic prices index SA,0.7
1950,Gross Domestic Product (Income) chained volume index: SA,19.100000000000001
1950,Gross Domestic Product (Income) current basic prices index SA,0.7
1950,Gross Domestic Product (Expenditure) chained volume index: SA,18.7
1950,Tot adjustment to basic prices (General Government + Rest of the World) CVM SA £,44369
1950,Gross domestic product at market prices annual growth rate CP SA %,4.7
1950,Total adjustment to basic prices (General Government + ROW) CP SA £m,1160
1950,Gross Domestic Product: Year on Year growth: CVM SA %,3.3
1950,GDP Deflator: Year on Year growth: SA %...51,1.3
1950,General Government: Final consumption expenditure: P3: CVM SA £m,113439
1950,whole economy: D2 less D3: pre-ESA95 factor cost adjustment: SA CP £m,1419
1950,Trade in services:Exports:Total:CP:SA:£m,695
1950,Trade in services:Imports:Total:CP:SA:£m,699
1950,Trade in Services:Imports:Total:CVM:SA:£m,8950
1950,Trade in services:Balance:Total:CP:SA:£m,-4
1950,Trade in Services:Exports:Total:CVM:SA:£m,15715
1950,Balance of Payments: Trade in Goods & Services: Total balance: CP SA £m,-59
1950,Balance of Payments: Trade in Goods & Services: Total exports: CVM SA £m,41501
1950,Balance of Payments: Trade in Goods & Services: Total exports: CP SA £m,2988
1950,Balance of Payments: Trade in Goods & Services: Total imports: CP SA £m,3047
1950,Balance of Payments: Imports: Total Trade in Goods & Services: CVM SA £m,34877
1950,Balance of Payments: Trade in Goods & Services: Total Balance: CVM SA £m,6624
1950,Gross fixed capital formation annual growth rate YoY CP SA %,12.3
1950,Total fixed capital formation annual growth rate YoY CVM SA %,8.9
1950,Changes in inventories (CP SA) including alignment adjustment £m,-210
1950,Private non-financial corporations (S.11002+S.11003): Gross Operating Surplus: Resource: CP £m: SA,1824
1950,Gross Operating Surplus: NFCos: Public: Current price: SA £m,405
1950,Imports goods annual growth rate CP SA %,15.7
1950,Exports goods annual growth rate CP SA %,21.3
1950,Changes in inventories including alignment adjustment - CVM NAYear SA £m,-5916
1950,Exports goods annual growth rate CVM SA %,14.2
1950,Imports goods annual growth rate CVM SA %,0.8
1950,Gross Domestic Product (Income) current basic prices: aligned: SA £m,11910
1950,Gross Domestic Product (Expenditure) chained volume measure SA £m,328670
1950,Gross Domestic Product (Expenditure) current basic prices: aligned:SA £m,11668
1950,NPISH (S.15): Individual consumption expenditure (P.31): Uses: Current price: £m: SA,57
1950,Trade in Goods:Exports:Total Trade in Goods:CVM:SA:£m,26146
1950,Trade in Goods:Imports:Total:CVM:SA: £m,25812
1950,Final Consumption Expenditure of NPISHs CVM SA £m,16683
1950,Trade in Goods:Balance:Total:CP:SA £m,-55
1950,Trade in Goods:Imports:Total:CP:SA £m,2348
1950,Trade in Goods:Exports:Total:CP:SA £m,2293
1950,"Acquisitions less disposals of valuables: total economy CP SA, £m",0
1950,"Acquisitions less disposals of valuables: total economy CVM SA, £m",0
1950,Total Gross Fixed Capital Formation CP SA £m,1387
1950,Total Gross Fixed Capital Formation CVM SA £m,31637
1950,Compensation of employees D.1 annual growth rate YoY CP SA %,5.2
1950,Difference between GDP(E) and GDP(A) MP (SA CP) £m,98
1950,Statistical discrepancy (income) £m,-144
1950,Difference between GDP(Expenditure) and GDP(Average) MP(CVM SA) £m,2835
1950,Gross Operating Surplus: Financial Corporations: Total: CP SA £m,33
1950,Gross value added at basic prices annual deflator growth rate SA %...455,0.9
1950,Gross value added at basic prices annual growth CVM SA %,3.1
1950,Gross value added at basic prices annual growth rate CP SA %,4.0999999999999996
1950,Non-profits institutions annual growth rate YoY CVM SA %,7.3
1950,General government annual growth rate YoY CP SA %,4
1950,General government annual growth rate YoY CVM SA %,-0.1
1950,Total exports annual growth rate YoY CP SA %,20
1950,Exports services annual growth rate CP SA %,16.2
1950,Imports services annual growth rate CP SA %,9
1950,Expenditure based estimate annual growth rate CP SA %,4.3
1950,Expenditure based estimate annual growth rate CVM SA %,3.4
1950,GOS Public corporations annual growth rate YoY CP SA %,17.100000000000001
1950,GOS of corporations annual growth YoY CP SA %,-0.3
1950,Gross Domestic Product at market prices: CP: NSA £m,12926
1950,Total exports annual growth rate YoY CVM SA %,14.2
1950,Exports services annual growth rate CVM SA %,14.2
1950,Total imports annual growth rate YoY CP SA %,14.1
1950,Total imports annual growth rate YoY CVM SA %,0.9
1950,Imports services annual growth rate CVM SA %,0.9
1950,CVM SA changes in inventories timing adjustment £m,0
1950,CP SA changes in inventories timing adjustment £m,0
1950,Gross Operating Surplus: NFCos: Private: Alignment adjustments: CP SA £m,0
1950,Income based estimate annual growth rate CVM SA %,3.1
1950,Gross added value at factor cost annual growth rate YoY CP SA %,4.0999999999999996
1950,Other income annual growth rate YoY CP SA %,5.3
1950,Gross national income at market prices annual growth rate CP SA %,6
1950,Gross final expenditure annual growth rate YoY CP SA %,6.5
1950,Private non-financial corporations (S.11002+S.11003): Gross Operating Surplus: Resource: Y on Y-1 growth %: CP £m: SA,-3.9
1950,GOS Financial corporations annual growth rate YoY CP SA %,37.5
1950,Income based estimate annual growth rate CP SA %,4
1950,Taxes on products & production less subsidies annual growth rate YoY CP SA %,8.6999999999999993
1950,Total domestic expenditure annual growth rate YoY CP SA %,3.8
1950,Total domestic expenditure annual growth rate YoY CVM SA %,0.8
1950,Gross domestic expenditure annual deflator growth rate SA %...578,3
1950,Households (S.14): Individual consumption expenditure (P.31) Uses: Current price: £m: SA,9338
1950,Household final consumption expenditure :National concept CVM SA - £m,228627
1950,Gross final expenditure annual growth rate YoY CVM SA %,3
1950,Gross Domestic Product index: Current price: Seasonally adjusted,0.7
1950,Total national household final consumption annual growth rate YoY CVM SA %,2.8
1950,Gross value added at basic price index: Current price: Seasonally adjusted,0.7
1950,Gross domestic product index: CVM: Seasonally adjusted,19
1950,Non-profits institutions annual growth rate YoY CP SA %,9.6
1950,Gross Domestic Product: chained volume measures: Seasonally adjusted £m,373923
1950,Total gross final expenditure (aligned) - P.3+P.5+P.6 : CP SA £m,15875
1950,Total gross final expenditure (aligned) - P.3+P.5+P.6 : CVM SA £m,387877
1950,Total national household final consumption annual growth rate %,5.7
1950,Gross domestic product at market prices:Implied deflator:SA,3.5
1950,Gross National Income: Current price: Seasonally adjusted £m,13283
1950,Gross Value Added (Average) at basic prices: CP SA £m,11766
1950,Gross Value Added at basic prices:chained volume measures:Seasonally adjusted £m,331505
1950,Total national expenditure:Implied deflator:SA,3.6
1950,Gross value added at basic prices: Output Index: CVM SA,19.2
1950,Total national expenditure (aligned) - P.3+P.5: CVM SA £m,356330
1950,Total national expenditure (aligned) - P.3+P.5: CP SA £m,12887
1950,Gross Domestic Product at market prices: Current price: Seasonally adjusted £m,12926
1950,Revisions to NPISH CVM growth table %,0
1950,Revisions to Households CVM growth %,0
1950,Revisions to Total GVA CVM growth %,0
1950,Revisions to Total export CVM growth %,0
1950,Revisions to total (domestic expenditure) CVM growth %,0
1950,Revisions to Gross fixed capital formation CVM growth %,0
1950,Revisions to General government CVM growth %,0
1950,Revisions to Total imports CVM growth %,0
1950,Revision to GVA at bp £m,0
1950,Revision to basic price adjustment (bpa) £m,0
1950,Revision to GDP at market prices £m,0
1950,Revision to HH - component of GDP(E) £m,0
1950,Revision to changes in inventories - component of GDP(E) £m,0
1950,Revision to GFCF - component of GDP(E) £m,0
1950,Revision to CG - component of GDP(E) £m,0
1950,Revision to NPISH - component of GDP(E) £m,0
1950,Revision to total imports - component of GDP(E) £m,0
1950,Revision to total exports - component of GDP(E) £m,0
1950,Revisions to domestic expenditure on goods and services at market prices. £m,0
1950,Revisions to GDP CVM growth %,0
1950,Revision to Acquistions less disposals of valuables - component of GDP(E) £m,0
1950,Revisions to other income £m,0
1950,Revisions to GoS of corporations £m,0
1950,Revisions to CoE £m,0
1950,Revisions to statistical discrepancy (E) £m,0
1950,Revisions to statistical discrepancy (I) £m,0
1950,Revisions to taxes on products & production less subsidies £m,0
1950,Revisions to GVA at fc £m,0
1950,UK: Total compensation of employees (Uses): D.1: CP SA £m,7669
1950,Income based: Gross operating surplus of corporations : Total: CP SA £m,2262
1950,Income based: Other income: CP SA £m,1720
1950,Gross Value Added at basic prices: Implied deflator:SA,3.5
1950,National accounts residual error: CP: SA: £m,-242
1950,ESA95 % change on previous quarter: Gross value added at basic prices,3.2
1950,Gross value added at basic prices:CVM:Index:SA,18.899999999999999
1950,Income based: Gross value added at factor cost: CP SA £m,11651
1951,General Government: Final consumption expenditure (P3): CPSA £m,2701
1951,Gross Domestic Product (Expenditure) current basic prices index SA,0.7
1951,Gross Domestic Product (Income) chained volume index: SA,19.7
1951,Gross Domestic Product (Income) current basic prices index SA,0.8
1951,Gross Domestic Product (Expenditure) chained volume index: SA,19.399999999999999
1951,Tot adjustment to basic prices (General Government + Rest of the World) CVM SA £,47161
1951,Gross domestic product at market prices annual growth rate CP SA %,12.3
1951,Total adjustment to basic prices (General Government + ROW) CP SA £m,1345
1951,Gross Domestic Product: Year on Year growth: CVM SA %,3.7
1951,GDP Deflator: Year on Year growth: SA %...51,8.3000000000000007
1951,General Government: Final consumption expenditure: P3: CVM SA £m,121720
1951,whole economy: D2 less D3: pre-ESA95 factor cost adjustment: SA CP £m,1616
1951,Trade in services:Exports:Total:CP:SA:£m,860
1951,Trade in services:Imports:Total:CP:SA:£m,828
1951,Trade in Services:Imports:Total:CVM:SA:£m,9578
1951,Trade in services:Balance:Total:CP:SA:£m,32
1951,Trade in Services:Exports:Total:CVM:SA:£m,15557
1951,Balance of Payments: Trade in Goods & Services: Total balance: CP SA £m,-661
1951,Balance of Payments: Trade in Goods & Services: Total exports: CVM SA £m,41084
1951,Balance of Payments: Trade in Goods & Services: Total exports: CP SA £m,3639
1951,Balance of Payments: Trade in Goods & Services: Total imports: CP SA £m,4300
1951,Balance of Payments: Imports: Total Trade in Goods & Services: CVM SA £m,37327
1951,Balance of Payments: Trade in Goods & Services: Total Balance: CVM SA £m,3757
1951,Gross fixed capital formation annual growth rate YoY CP SA %,20
1951,Total fixed capital formation annual growth rate YoY CVM SA %,6.9
1951,Changes in inventories (CP SA) including alignment adjustment £m,575
1951,Private non-financial corporations (S.11002+S.11003): Gross Operating Surplus: Resource: CP £m: SA,2203
1951,Gross Operating Surplus: NFCos: Public: Current price: SA £m,418
1951,Imports goods annual growth rate CP SA %,47.9
1951,Exports goods annual growth rate CP SA %,21.2
1951,Changes in inventories including alignment adjustment - CVM NAYear SA £m,8429
1951,Exports goods annual growth rate CVM SA %,-1
1951,Imports goods annual growth rate CVM SA %,7
1951,Gross Domestic Product (Income) current basic prices: aligned: SA £m,13302
1951,Gross Domestic Product (Expenditure) chained volume measure SA £m,340952
1951,Gross Domestic Product (Expenditure) current basic prices: aligned:SA £m,13095
1951,NPISH (S.15): Individual consumption expenditure (P.31): Uses: Current price: £m: SA,62
1951,Trade in Goods:Exports:Total Trade in Goods:CVM:SA:£m,25884
1951,Trade in Goods:Imports:Total:CVM:SA: £m,27626
1951,Final Consumption Expenditure of NPISHs CVM SA £m,16478
1951,Trade in Goods:Balance:Total:CP:SA £m,-693
1951,Trade in Goods:Imports:Total:CP:SA £m,3472
1951,Trade in Goods:Exports:Total:CP:SA £m,2779
1951,"Acquisitions less disposals of valuables: total economy CP SA, £m",0
1951,"Acquisitions less disposals of valuables: total economy CVM SA, £m",0
1951,Total Gross Fixed Capital Formation CP SA £m,1665
1951,Total Gross Fixed Capital Formation CVM SA £m,33811
1951,Compensation of employees D.1 annual growth rate YoY CP SA %,11.4
1951,Difference between GDP(E) and GDP(A) MP (SA CP) £m,78
1951,Statistical discrepancy (income) £m,-129
1951,Difference between GDP(Expenditure) and GDP(Average) MP(CVM SA) £m,2084
1951,Gross Operating Surplus: Financial Corporations: Total: CP SA £m,32
1951,Gross value added at basic prices annual deflator growth rate SA %...455,8.1999999999999993
1951,Gross value added at basic prices annual growth CVM SA %,3.5
1951,Gross value added at basic prices annual growth rate CP SA %,12
1951,Non-profits institutions annual growth rate YoY CVM SA %,-1.2
1951,General government annual growth rate YoY CP SA %,16.7
1951,General government annual growth rate YoY CVM SA %,7.3
1951,Total exports annual growth rate YoY CP SA %,21.8
1951,Exports services annual growth rate CP SA %,23.7
1951,Imports services annual growth rate CP SA %,18.5
1951,Expenditure based estimate annual growth rate CP SA %,12.2
1951,Expenditure based estimate annual growth rate CVM SA %,3.7
1951,GOS Public corporations annual growth rate YoY CP SA %,3.2
1951,GOS of corporations annual growth YoY CP SA %,17.3
1951,Gross Domestic Product at market prices: CP: NSA £m,14518
1951,Total exports annual growth rate YoY CVM SA %,-1
1951,Exports services annual growth rate CVM SA %,-1
1951,Total imports annual growth rate YoY CP SA %,41.1
1951,Total imports annual growth rate YoY CVM SA %,7
1951,Imports services annual growth rate CVM SA %,7
1951,CVM SA changes in inventories timing adjustment £m,0
1951,CP SA changes in inventories timing adjustment £m,0
1951,Gross Operating Surplus: NFCos: Private: Alignment adjustments: CP SA £m,0
1951,Income based estimate annual growth rate CVM SA %,3.2
1951,Gross added value at factor cost annual growth rate YoY CP SA %,11.8
1951,Other income annual growth rate YoY CP SA %,6.7
1951,Gross national income at market prices annual growth rate CP SA %,11.6
1951,Gross final expenditure annual growth rate YoY CP SA %,18
1951,Private non-financial corporations (S.11002+S.11003): Gross Operating Surplus: Resource: Y on Y-1 growth %: CP £m: SA,20.8
1951,GOS Financial corporations annual growth rate YoY CP SA %,-3
1951,Income based estimate annual growth rate CP SA %,11.7
1951,Taxes on products & production less subsidies annual growth rate YoY CP SA %,13.9
1951,Total domestic expenditure annual growth rate YoY CP SA %,17.2
1951,Total domestic expenditure annual growth rate YoY CVM SA %,5.8
1951,Gross domestic expenditure annual deflator growth rate SA %...578,10.7
1951,Households (S.14): Individual consumption expenditure (P.31) Uses: Current price: £m: SA,10098
1951,Household final consumption expenditure :National concept CVM SA - £m,225860
1951,Gross final expenditure annual growth rate YoY CVM SA %,4.5999999999999996
